OriginalQuery,RewrittenQuery,Type
"Consider the Content License Agreement between PSiTech Corporation and Empirical Ventures, Inc.; What licenses are granted under this contract?","""Can Licensees in Content License Agreements expect to have rights to the Licensed Content, and if so, what are they?""",vague
"Consider the Content License Agreement between PSiTech Corporation and Empirical Ventures, Inc.; Are the licenses granted under this contract non-transferable?",What type of license grants are commonly found in Content License Agreements?,vague
"Consider the Content License Agreement between PSiTech Corporation and Empirical Ventures, Inc.; What are the audit rights under this contract?",What types of audit rights typically appear in Content License Agreements?,vague
"Consider the Content License Agreement between PSiTech Corporation and Empirical Ventures, Inc.; Is there uncapped liability under this contract?","""What kind of liability provisions are typically included in Content License Agreements?""",vague
"Consider the Content License Agreement between PSiTech Corporation and Empirical Ventures, Inc.; Is there a cap on liability under this contract?","""Are Content License Agreements generally expected to include liability caps?""",vague
"Consider the Content License Agreement between Beijing Sun Seven Stars Culture Development Limited and You On Demand Holdings, Inc.; What is the expiration date of this contract?","""Are Content License Agreements usually transferable to other parties?""",vague
"Consider the Content License Agreement between Beijing Sun Seven Stars Culture Development Limited and You On Demand Holdings, Inc.; What is the governing law for this contract?",What are the main obligations that Licensees are expected to fulfill in a Content License Agreement?,vague
"Consider the Content License Agreement between Beijing Sun Seven Stars Culture Development Limited and You On Demand Holdings, Inc.; Does this contract include any right of first refusal, right of first offer, or right of first negotiation?","""What kinds of criteria are generally used to determine when a content licensing agreement should be terminated?""",vague
"Consider the Content License Agreement between Beijing Sun Seven Stars Culture Development Limited and You On Demand Holdings, Inc.; Is there an anti-assignment clause in this contract?","""What contractual provisions are",vague
"Consider the Content License Agreement between Beijing Sun Seven Stars Culture Development Limited and You On Demand Holdings, Inc.; Does this contract include any revenue or profit-sharing arrangements?","""What does the Employment Contract for senior engineers include about post-resignation obligations?""",vague
"Consider the Content License Agreement between Beijing Sun Seven Stars Culture Development Limited and You On Demand Holdings, Inc.; What are the audit rights under this contract?","""What obligations are usually included in Content License Agreements for monitoring or verifying compliance?""",vague
"Consider the Content License Agreement between Beijing Sun Seven Stars Culture Development Limited and You On Demand Holdings, Inc.; Is there uncapped liability under this contract?","""What are the liability limits in Content License Agreements similar to the one in question?""",vague
"Consider the Content License Agreement between Beijing Sun Seven Stars Culture Development Limited and You On Demand Holdings, Inc.; Is there a cap on liability under this contract?","""What are the general liability limits in Content License Agreements?""",vague
"Consider the Co-Branding and Services Agreement between RSL COM PrimeCall, Inc. and deltathree.com, Inc.; What is the expiration date of this contract?",How long do Co-Branding and Services Agreements usually remain valid for?,vague
"Consider the Co-Branding and Services Agreement between RSL COM PrimeCall, Inc. and deltathree.com, Inc.; What is the governing law for this contract?","In general, how does governing law affect Co-Branding and Services Agreements between companies?",vague
"Consider the Co-Branding and Services Agreement between RSL COM PrimeCall, Inc. and deltathree.com, Inc.; What happens in the event of a change of control of one of the parties in this contract?","""What are the key consequences for co-branding partnerships when one of the parties",vague
"Consider the Co-Branding and Services Agreement between RSL COM PrimeCall, Inc. and deltathree.com, Inc.; Is there an anti-assignment clause in this contract?","""How long does a typical notice period last for Co-Branding and Services Agreements like the one in question?""",vague
"Consider the Co-Branding and Services Agreement between RSL COM PrimeCall, Inc. and deltathree.com, Inc.; What licenses are granted under this contract?",What are the typical obligations of parties in Co-Branding and Services Agreements?,vague
"Consider the Co-Branding and Services Agreement between RSL COM PrimeCall, Inc. and deltathree.com, Inc.; Is there a cap on liability under this contract?","""How do typical Non-Disclosure Agreements define the rights to Confidential Information?""",vague
"Consider the Co-Branding Agreement between Women.com Networks, Inc. and eDiets.com, Inc. for the Establishment of a Diet Center; What is the renewal term for this contract?",How often are renewal terms specified in co-branding agreements for diet centers?,vague
"Consider the Co-Branding Agreement between Women.com Networks, Inc. and eDiets.com, Inc. for the Establishment of a Diet Center; What is the notice period required to terminate the renewal?","""In the case of Co-Branding Agreements, is there a default provision for automatic renewal of the agreement",vague
"Consider the Co-Branding Agreement between Women.com Networks, Inc. and eDiets.com, Inc. for the Establishment of a Diet Center; What is the governing law for this contract?","""What type of law typically governs Co-Branding Agreements like the one between Women?",vague
"Consider the Co-Branding Agreement between Women.com Networks, Inc. and eDiets.com, Inc. for the Establishment of a Diet Center; Are there any exceptions to competitive restrictions in this contract?","""How do Co-Branding Agreements usually address potential conflicts of interest related to competitive restrictions?""  Final_Reph",vague
"Consider the Co-Branding Agreement between Women.com Networks, Inc. and eDiets.com, Inc. for the Establishment of a Diet Center; Does this contract include any right of first refusal, right of first offer, or right of first negotiation?","""Do partnerships established through Co-Branding Agreements typically include provisions for exclusive negotiation rights?""",vague
"Consider the Co-Branding Agreement between Women.com Networks, Inc. and eDiets.com, Inc. for the Establishment of a Diet Center; What happens in the event of a change of control of one of the parties in this contract?","""What are the implications of a change of control for parties in a Co-Branding Agreement?""",vague
"Consider the Co-Branding Agreement between Women.com Networks, Inc. and eDiets.com, Inc. for the Establishment of a Diet Center; Are there any price restrictions or controls specified in this contract?","""Are there any standard practices regarding price controls",vague
"Consider the Co-Branding Agreement between Women.com Networks, Inc. and eDiets.com, Inc. for the Establishment of a Diet Center; Is there a minimum commitment required under this contract?","""How do joint marketing efforts typically feature in Co-Branding Agreements for diet centers?""",vague
"Consider the Co-Branding Agreement between Women.com Networks, Inc. and eDiets.com, Inc. for the Establishment of a Diet Center; What licenses are granted under this contract?","""What rights to trademarks and trade names are usually included in Co-Branding Agreements?""",vague
"Consider the Co-Branding Agreement between Women.com Networks, Inc. and eDiets.com, Inc. for the Establishment of a Diet Center; Are the licenses granted under this contract non-transferable?",Are the licenses typically non-transferable in co-branding agreements?,vague
"Consider the Co-Branding Agreement between Women.com Networks, Inc. and eDiets.com, Inc. for the Establishment of a Diet Center; Is there uncapped liability under this contract?","""Do Co-Branding Agreements typically set a maximum liability limit for any single party?""",vague
"Consider the Co-Branding Agreement between Women.com Networks, Inc. and eDiets.com, Inc. for the Establishment of a Diet Center; Is there a cap on liability under this contract?","""Can you find any instances of liability caps in Co-Branding Agreements in similar business contexts?""",vague
"Consider the Co-Branding Agreement between Women.com Networks, Inc. and eDiets.com, Inc. for the Establishment of a Diet Center; Is there a covenant not to sue included in this contract?",What type of clauses are typically included in Co-Branding Agreements to protect against legal action?,vague
"Consider the Product Development and Co-Branding Agreement between Integrity Incorporated and Time Life, Inc. for 'Songs 4 Worship' Series; What is the expiration date of this contract?","""What is the typical duration of contracts in the music industry for product development and co-branding agreements?""",vague
"Consider the Product Development and Co-Branding Agreement between Integrity Incorporated and Time Life, Inc. for 'Songs 4 Worship' Series; What is the governing law for this contract?","""In music licensing contracts, which jurisdiction is most commonly referenced for dispute resolution?""",vague
"Consider the Product Development and Co-Branding Agreement between Integrity Incorporated and Time Life, Inc. for 'Songs 4 Worship' Series; Is there a most favored nation clause in this contract?","""Do agreements for co-branding and product development often include clauses",vague
"Consider the Product Development and Co-Branding Agreement between Integrity Incorporated and Time Life, Inc. for 'Songs 4 Worship' Series; Does this contract include an exclusivity agreement?","""What types of contracts for music co-branding projects usually involve exclusivity terms?""",vague
"Consider the Product Development and Co-Branding Agreement between Integrity Incorporated and Time Life, Inc. for 'Songs 4 Worship' Series; Does this contract include any revenue or profit-sharing arrangements?",Do music series product development agreements typically outline revenue or profit-sharing arrangements with co-branding partners?  Final_Reph,vague
"Consider the Product Development and Co-Branding Agreement between Integrity Incorporated and Time Life, Inc. for 'Songs 4 Worship' Series; Is there a minimum commitment required under this contract?","""How do music production collaborations typically outline obligations for series creation?""",vague
"Consider the Product Development and Co-Branding Agreement between Integrity Incorporated and Time Life, Inc. for 'Songs 4 Worship' Series; Does this contract include any volume restrictions?","""In agreements for co-branded products, what is the common approach to volume requirements?""",vague
"Consider the Product Development and Co-Branding Agreement between Integrity Incorporated and Time Life, Inc. for 'Songs 4 Worship' Series; Does this contract provide for joint intellectual property ownership?","""How do product development and co-branding agreements usually handle ownership of intellectual property?""",vague
"Consider the Product Development and Co-Branding Agreement between Integrity Incorporated and Time Life, Inc. for 'Songs 4 Worship' Series; What licenses are granted under this contract?","In a typical co-branding agreement, what kinds of licenses are usually extended to co-branding parties in the music industry?",vague
"Consider the Product Development and Co-Branding Agreement between Integrity Incorporated and Time Life, Inc. for 'Songs 4 Worship' Series; What are the audit rights under this contract?","""Are there provisions in typical Product Development and Co-Branding Agreements for audits by the Licensor?""",vague
"Consider the Product Development and Co-Branding Agreement between Integrity Incorporated and Time Life, Inc. for 'Songs 4 Worship' Series; Is there a covenant not to sue included in this contract?","""Do most agreements for co-branding and product development include any specific c",vague
"Consider the Co-Branding and Endorsement Licensing Agreement between MusclePharm Corporation, Arnold Schwarzenegger, Marine MP, LLC, and Fitness Publications, Inc.; What is the expiration date of this contract?","""What is the typical contract length for agreements involving co-branding and endorsement licensing?"" Final_Rephr",vague
"Consider the Co-Branding and Endorsement Licensing Agreement between MusclePharm Corporation, Arnold Schwarzenegger, Marine MP, LLC, and Fitness Publications, Inc.; What is the renewal term for this contract?","""How long does a typical Co-Branding and Endorsement Licensing Agreement provide for termination notice?""",vague
"Consider the Co-Branding and Endorsement Licensing Agreement between MusclePharm Corporation, Arnold Schwarzenegger, Marine MP, LLC, and Fitness Publications, Inc.; What is the governing law for this contract?","""For agreements involving co-branding and endorsement, what legal framework typically governs the contract?""",vague
"Consider the Co-Branding and Endorsement Licensing Agreement between MusclePharm Corporation, Arnold Schwarzenegger, Marine MP, LLC, and Fitness Publications, Inc.; Are there any exceptions to competitive restrictions in this contract?",Are exceptions to competitive restrictions typically mentioned in Co-Branding and Endorsement Licensing Agreements?,vague
"Consider the Co-Branding and Endorsement Licensing Agreement between MusclePharm Corporation, Arnold Schwarzenegger, Marine MP, LLC, and Fitness Publications, Inc.; Is there a non-compete clause in this contract?","""What contractual obligations typically accompany co-branding and endorsement licensing agreements in the fitness industry?""",vague
"Consider the Co-Branding and Endorsement Licensing Agreement between MusclePharm Corporation, Arnold Schwarzenegger, Marine MP, LLC, and Fitness Publications, Inc.; Does this contract include an exclusivity agreement?",What types of contracts between brands and influencers typically include exclusivity agreements??,vague
"Consider the Co-Branding and Endorsement Licensing Agreement between MusclePharm Corporation, Arnold Schwarzenegger, Marine MP, LLC, and Fitness Publications, Inc.; Does this contract include any right of first refusal, right of first offer, or right of first negotiation?","""What kind of provisions regarding the right of first refusal, first offer, or first negotiation are typically found in Co-Branding and Endorsement Licensing Agreements?""",vague
"Consider the Co-Branding and Endorsement Licensing Agreement between MusclePharm Corporation, Arnold Schwarzenegger, Marine MP, LLC, and Fitness Publications, Inc.; What happens in the event of a change of control of one of the parties in this contract?","""What is the effect on contractual obligations when there is a change of control in a Co-Branding and Endorsement Licensing Agreement?""",vague
"Consider the Co-Branding and Endorsement Licensing Agreement between MusclePharm Corporation, Arnold Schwarzenegger, Marine MP, LLC, and Fitness Publications, Inc.; Is there an anti-assignment clause in this contract?","""Do Co-Branding and Endorsement Licensing Agreements typically include provisions against assigning the agreement to another party?""",vague
"Consider the Co-Branding and Endorsement Licensing Agreement between MusclePharm Corporation, Arnold Schwarzenegger, Marine MP, LLC, and Fitness Publications, Inc.; Does this contract include any revenue or profit-sharing arrangements?",Are revenue or profit-sharing arrangements typically included in co-branding and endorsement licensing agreements?,vague
"Consider the Co-Branding and Endorsement Licensing Agreement between MusclePharm Corporation, Arnold Schwarzenegger, Marine MP, LLC, and Fitness Publications, Inc.; Is there a minimum commitment required under this contract?",What are the common requirements for minimum commitment in Co-Branding and Endorsement Licensing Agreements?  ]]></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></,vague
"Consider the Co-Branding and Endorsement Licensing Agreement between MusclePharm Corporation, Arnold Schwarzenegger, Marine MP, LLC, and Fitness Publications, Inc.; Does this contract include any volume restrictions?","""What common provisions are included in licensing agreements for endorsements and co-branding?""",vague
"Consider the Co-Branding and Endorsement Licensing Agreement between MusclePharm Corporation, Arnold Schwarzenegger, Marine MP, LLC, and Fitness Publications, Inc.; How is intellectual property ownership assigned in this contract?",What kinds of consequences are typically associated with a breach in a Co-Branding and Endorsement Licensing Agreement?,vague
"Consider the Co-Branding and Endorsement Licensing Agreement between MusclePharm Corporation, Arnold Schwarzenegger, Marine MP, LLC, and Fitness Publications, Inc.; What licenses are granted under this contract?","""Do Endorsement Licensing Agreements usually specify territorial limitations on trademark usage?""",vague
"Consider the Co-Branding and Endorsement Licensing Agreement between MusclePharm Corporation, Arnold Schwarzenegger, Marine MP, LLC, and Fitness Publications, Inc.; Are there any services to be provided after the termination of this contract?","""In what ways do Co-Branding and Endorse",vague
"Consider the Co-Branding and Endorsement Licensing Agreement between MusclePharm Corporation, Arnold Schwarzenegger, Marine MP, LLC, and Fitness Publications, Inc.; What are the audit rights under this contract?","""What kinds of consequences are usually specified for material breaches in licensing agreements?""",vague
"Consider the Co-Branding and Endorsement Licensing Agreement between MusclePharm Corporation, Arnold Schwarzenegger, Marine MP, LLC, and Fitness Publications, Inc.; Is there a cap on liability under this contract?",What kinds of damages are generally recoverable in cases involving Co-Branding and Endorsement Licensing Agreements?,vague
"Consider the Co-Branding and Endorsement Licensing Agreement between MusclePharm Corporation, Arnold Schwarzenegger, Marine MP, LLC, and Fitness Publications, Inc.; What are the insurance requirements under this contract?","""What kinds of insurance arrangements are commonly found in Co-Branding and Endorsement Licensing Agreements?""",vague
"Consider the Co-Branding and Endorsement Licensing Agreement between MusclePharm Corporation, Arnold Schwarzenegger, Marine MP, LLC, and Fitness Publications, Inc.; Is there a covenant not to sue included in this contract?","""Can Co-Branding and Endorsement Licensing Agreements be used to limit legal exposure",vague
"Consider the Co-Branding Agreement between Skype Communications, Skype Technologies, TOM Online (BVI) Limited, TOM Online Inc., and Tel-Online Limited; What is the expiration date of this contract?","""In what ways do Co-Branding Agreements typically specify their contract duration?""",vague
"Consider the Co-Branding Agreement between Skype Communications, Skype Technologies, TOM Online (BVI) Limited, TOM Online Inc., and Tel-Online Limited; What is the renewal term for this contract?","""What is the standard duration for co-branding contract renewals?""",vague
"Consider the Co-Branding Agreement between Skype Communications, Skype Technologies, TOM Online (BVI) Limited, TOM Online Inc., and Tel-Online Limited; What is the notice period required to terminate the renewal?",In,vague
"Consider the Co-Branding Agreement between Skype Communications, Skype Technologies, TOM Online (BVI) Limited, TOM Online Inc., and Tel-Online Limited; What is the governing law for this contract?",What jurisdiction typically governs Co-Branding Agreements among multiple parties?,vague
"Consider the Co-Branding Agreement between Skype Communications, Skype Technologies, TOM Online (BVI) Limited, TOM Online Inc., and Tel-Online Limited; Is there a most favored nation clause in this contract?","""What kinds of contractual terms are common in Co-",vague
"Consider the Co-Branding Agreement between Skype Communications, Skype Technologies, TOM Online (BVI) Limited, TOM Online Inc., and Tel-Online Limited; Are there any exceptions to competitive restrictions in this contract?","""How do Data Use Agreements typically handle Confidential Information after the agreement ends?""",vague
"Consider the Co-Branding Agreement between Skype Communications, Skype Technologies, TOM Online (BVI) Limited, TOM Online Inc., and Tel-Online Limited; Is there a non-compete clause in this contract?","""In Co-Branding Agreements, are",vague
"Consider the Co-Branding Agreement between Skype Communications, Skype Technologies, TOM Online (BVI) Limited, TOM Online Inc., and Tel-Online Limited; What happens in the event of a change of control of one of the parties in this contract?","""How do Co-Branding Agreements address changes in control",vague
"Consider the Co-Branding Agreement between Skype Communications, Skype Technologies, TOM Online (BVI) Limited, TOM Online Inc., and Tel-Online Limited; Is there an anti-assignment clause in this contract?","In Co-Branding Agreements, what kinds of contractual restrictions",vague
"Consider the Co-Branding Agreement between Skype Communications, Skype Technologies, TOM Online (BVI) Limited, TOM Online Inc., and Tel-Online Limited; Does this contract include any revenue or profit-sharing arrangements?","""What common provisions are typically found in revenue-sharing agreements in the context of partnerships among multiple companies?""",vague
"Consider the Co-Branding Agreement between Skype Communications, Skype Technologies, TOM Online (BVI) Limited, TOM Online Inc., and Tel-Online Limited; How is intellectual property ownership assigned in this contract?","""What conditions do parties usually agree upon when using each other's intellectual property in a Co-Branding Agreement",vague
"Consider the Co-Branding Agreement between Skype Communications, Skype Technologies, TOM Online (BVI) Limited, TOM Online Inc., and Tel-Online Limited; Does this contract provide for joint intellectual property ownership?","""Can co-branding agreements specify joint",vague
"Consider the Co-Branding Agreement between Skype Communications, Skype Technologies, TOM Online (BVI) Limited, TOM Online Inc., and Tel-Online Limited; What licenses are granted under this contract?","""What kinds of conditions and restrictions are usually imposed on using licensed intellectual property in a Co-Branding Agreement?""",vague
"Consider the Co-Branding Agreement between Skype Communications, Skype Technologies, TOM Online (BVI) Limited, TOM Online Inc., and Tel-Online Limited; Does the licensor's affiliates have any licensing rights under this contract?",Are there any instances of licensing rights being granted to affiliates of the licensor in the Co-Branding Agreement,vague
"Consider the Co-Branding Agreement between Skype Communications, Skype Technologies, TOM Online (BVI) Limited, TOM Online Inc., and Tel-Online Limited; Does the licensee's affiliates have any licensing rights under this contract?","""In what ways do affiliates of the licensee gain rights through a co-branding agreement?""",vague
"Consider the Co-Branding Agreement between Skype Communications, Skype Technologies, TOM Online (BVI) Limited, TOM Online Inc., and Tel-Online Limited; Are there any services to be provided after the termination of this contract?","""In Non-Disclosure Agreements, what kind of rights do the parties usually grant to each other?""",vague
"Consider the Co-Branding Agreement between Skype Communications, Skype Technologies, TOM Online (BVI) Limited, TOM Online Inc., and Tel-Online Limited; What are the audit rights under this contract?",What is the typical scope of audit rights in,vague
"Consider the Co-Branding Agreement between Skype Communications, Skype Technologies, TOM Online (BVI) Limited, TOM Online Inc., and Tel-Online Limited; Is there uncapped liability under this contract?","""What are the implications for liability under co-branding contracts with multiple parties?""",vague
"Consider the Co-Branding Agreement between Skype Communications, Skype Technologies, TOM Online (BVI) Limited, TOM Online Inc., and Tel-Online Limited; Is there a cap on liability under this contract?","""What kinds of obligations do parties usually commit to in a Co-Branding Agreement?""",vague
"Consider the Development Agreement between Howmedica Osteonics Corp. (Stryker) and Conformis, Inc. for Patient-Specific Instrumentation; What is the expiration date of this contract?","""What information about the end date of a Development Agreement for Patient-Specific Instrumentation can be typically found in such agreements?""",vague
"Consider the Development Agreement between Howmedica Osteonics Corp. (Stryker) and Conformis, Inc. for Patient-Specific Instrumentation; What is the governing law for this contract?","""What jurisdictions are typically considered when defining the governing law in a Development Agreement for Patient-Specific Instrumentation?""",vague
"Consider the Development Agreement between Howmedica Osteonics Corp. (Stryker) and Conformis, Inc. for Patient-Specific Instrumentation; Are there any exceptions to competitive restrictions in this contract?","""What kind of exclusions might be present in contracts with competitive restrictions?""",vague
"Consider the Development Agreement between Howmedica Osteonics Corp. (Stryker) and Conformis, Inc. for Patient-Specific Instrumentation; Does this contract include an exclusivity agreement?","""What kinds of agreements are commonly included in development contracts between companies?""",vague
"Consider the Development Agreement between Howmedica Osteonics Corp. (Stryker) and Conformis, Inc. for Patient-Specific Instrumentation; Does this contract include any right of first refusal, right of first offer, or right of first negotiation?",How do typical Development Agreements for Patient-Specific Instrumentation handle negotiations with third parties?,vague
"Consider the Development Agreement between Howmedica Osteonics Corp. (Stryker) and Conformis, Inc. for Patient-Specific Instrumentation; Does this contract provide for joint intellectual property ownership?","In general, do Non-Disclosure Agreements allow recipients to access Confidential Information?",vague
"Consider the Development Agreement between Howmedica Osteonics Corp. (Stryker) and Conformis, Inc. for Patient-Specific Instrumentation; What licenses are granted under this contract?","""In what ways do Development Agreements typically outline license terms?""",vague
"Consider the Development Agreement between Howmedica Osteonics Corp. (Stryker) and Conformis, Inc. for Patient-Specific Instrumentation; Does the licensee's affiliates have any licensing rights under this contract?","""Do affiliates of the licensee in the Development Agreement for Patient-Specific Instrumentation have any restrictions placed upon",vague
"Consider the Development Agreement between Howmedica Osteonics Corp. (Stryker) and Conformis, Inc. for Patient-Specific Instrumentation; Is there uncapped liability under this contract?","""What",vague
"Consider the Development Agreement between Howmedica Osteonics Corp. (Stryker) and Conformis, Inc. for Patient-Specific Instrumentation; Is there a cap on liability under this contract?","""What is the standard approach to liability in Development Agreements for Patient-Specific Instrumentation?""  Final_Rephr",vague
"Consider the Exclusive License and Product Development Agreement between Eton Pharmaceuticals, Inc. and Aucta Pharmaceuticals, Inc.; What is the expiration date of this contract?","""How often do pharmaceutical companies renew or extend agreements like the Exclusive License and Product Development Agreement?""  Final",vague
"Consider the Exclusive License and Product Development Agreement between Eton Pharmaceuticals, Inc. and Aucta Pharmaceuticals, Inc.; What is the governing law for this contract?","""What jurisdictions are commonly specified as governing laws in pharmaceutical license agreements?""",vague
